Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

02:07:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
02:08:56 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:57 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:59 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:01 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:05 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
02:09:06 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:09 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:09:10 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:09:11 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:12 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:13 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:14 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:15 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:16 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:18 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:19 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:20 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:09:21 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:23 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:24 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:25 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:09:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
